商品ID,ブランド,商品名,香水濃度,容量,参考価格,発売年,トップノート,ミドルノート,ラストノート,香調,シーン,季節,おすすめする人,おすすめしにくい人,注意点,香りプロフィール数値,Amazonリンク,楽天リンク,公式リンク,関連商品,SEOタイトル,SEO説明,情報出典,欠損項目数,欠損項目
jo-malone-1,Jo Malone,ライムバジル & マンダリン,,,"¥15,000前後",1999,ライム・マンダリン,バジル,アンバーウッド,シトラス,ビジネス / デイリー,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00sw7hn.k90d6e3d.g00sw7hn.k90d72dc/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjomalone%2F10101l00301%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjomalone%2Fi%2F10000012%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,jo-malone-2 / jo-malone-3 / jo-malone-4,ライムバジル & マンダリン（Jo Malone）はどんな匂い？香調・持続・合うシーン｜Sillage,Jo Malone「ライムバジル & マンダリン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
acqua-di-parma-1,Acqua di Parma,コロニア,,,"¥18,000前後",1916,レモン・ベルガモット,ラベンダー・ローズマリー,パチョリ・サンダルウッド,シトラス,ビジネス / フォーマル,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fadp1003%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10048833%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,acqua-di-parma-2 / jo-malone-1 / dior-1,コロニア（Acqua di Parma）はどんな匂い？香調・持続・合うシーン｜Sillage,Acqua di Parma「コロニア」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
dior-1,Dior,オー ソバージュ,,,"¥13,000前後",1966,レモン・バジル,ローズマリー・ジャスミン,ベチバー・オークモス,シトラス,ビジネス / デイリー,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pu2mn.k90d68f9.g00pu2mn.k90d7381/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2Fb3348900627499%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmelink%2Fi%2F10050208%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,dior-2 / dior-3 / dior-4,オー ソバージュ（Dior）はどんな匂い？香調・持続・合うシーン｜Sillage,Dior「オー ソバージュ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
hermes-1,Hermès,オー ド パンプルムース ローズ,,,"¥17,000前後",2009,グレープフルーツ,ローズ,ベチバー,シトラス,デイリー / ビジネス,春 / 夏,,,,,,,,hermes-2 / hermes-3 / jo-malone-1,オー ド パンプルムース ローズ（Hermès）はどんな匂い？香調・持続・合うシーン｜Sillage,Hermès「オー ド パンプルムース ローズ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,10,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
4711-1,4711,オーデコロン,,,"¥1,200前後",1792,レモン・ベルガモット,ネロリ・ローズ,ムスク,シトラス,デイリー / スポーツ,夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fyon1004%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10042692%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,jo-malone-1 / acqua-di-parma-1 / dior-1,オーデコロン（4711）はどんな匂い？香調・持続・合うシーン｜Sillage,4711「オーデコロン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
atelier-cologne-1,Atelier Cologne,オランジュ サングィン,,,"¥20,000前後",2010,ブラッドオレンジ,ジャスミン,サンダルウッド,シトラス,デイリー / デート,春 / 夏,,,,,,,,jo-malone-1 / acqua-di-parma-1 / dior-1,オランジュ サングィン（Atelier Cologne）はどんな匂い？香調・持続・合うシーン｜Sillage,Atelier Cologne「オランジュ サングィン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,10,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
guerlain-1,Guerlain,オー インペリアル,,,"¥16,000前後",1853,レモン・ベルガモット,ネロリ,ローズ・ベチバー,シトラス,フォーマル / デイリー,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00u4tbn.k90d61d0.g00u4tbn.k90d7ab4/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frareu%2F2023093037%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frareu%2Fi%2F10008561%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,guerlain-2 / guerlain-3 / jo-malone-1,オー インペリアル（Guerlain）はどんな匂い？香調・持続・合うシーン｜Sillage,Guerlain「オー インペリアル」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
muji-1,無印良品,オードトワレ シトラス,,,"¥1,990前後",,オレンジ・レモン,グレープフルーツ,ライム,シトラス,デイリー / スポーツ,夏 / 春,軽いシトラス系を普段使いしたい人 / 春夏のデイリー用を探している人,甘く重厚な香りを求める人,現行の公式商品ページを特定できなかったため、販売状況は掲載していません,,,,,jo-malone-1 / acqua-di-parma-1 / dior-1,オードトワレ シトラス（無印良品）はどんな匂い？香調・持続・合うシーン｜Sillage,無印良品「オードトワレ シトラス」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,8,香水濃度 / 容量 / 発売年 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
dolce-gabbana-1,Dolce&Gabbana,ライト ブルー プールオム,,,"¥7,000前後",2007,グレープフルーツ・ベルガモット,ジュニパー・ローズウッド,ムスク・オークモス,シトラス,デイリー / デート,夏 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2F1082458%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10013577%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,dolce-gabbana-2 / jo-malone-1 / acqua-di-parma-1,ライト ブルー プールオム（Dolce&Gabbana）はどんな匂い？香調・持続・合うシーン｜Sillage,Dolce&Gabbana「ライト ブルー プールオム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
hermes-2,Hermès,オー ドランジュ ヴェルト,,,"¥16,000前後",1979,オレンジ・レモン・マンダリン,ミント・ブラックカラント,オークモス・パチョリ,シトラス,デイリー / ビジネス,夏 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00u0isn.k90d63fb.g00u0isn.k90d7eb4/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcoscora%2F30118%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcoscora%2Fi%2F10000814%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,hermes-1 / hermes-3 / jo-malone-1,オー ドランジュ ヴェルト（Hermès）はどんな匂い？香調・持続・合うシーン｜Sillage,Hermès「オー ドランジュ ヴェルト」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
